DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,AREA,CLASE,RAMA4D_D_R4,RAMA2D_D_R4,DSI,FEX_C,DPTO,ANO,MES,PERIODO,REGIS,P7250,P7260,P7280,P7310,P7320,P7350,P7360,P9460,P7390,P7420S1,P7420S2,P7420S3,P7420S4,P7420S5,P7420S6,P7420S7,P7420S8,P7422,P7422S1,P1806,P1519,P1883,OFICIO1,OFICIO2,DSCY
5110752,1,1,1,27,1,.,,1,68.77424955,27,2020,01,202001,70,12,38,1,1,,,,,,,,,,,,,,,,900000,,,59,,1
5110753,1,1,1,27,1,.,,1,71.263588201,27,2020,01,202001,70,25,40,1,1,,,,,,,,,,,,,,,,870000,,,45,,2
5110756,1,2,1,41,1,8890,88,1,187.83515399,41,2020,01,202001,70,4,48,1,2,4,4,9,2,1,1,,,,,,,,2,,2500000,1,1,19,19,1
5110758,1,1,1,41,1,7810,78,1,182.49796109,41,2020,01,202001,70,10,45,1,2,15,1,5,2,1,,,,,,,,1,2,,1600000,2,,19,19,1
5110765,1,2,1,44,1,8559,85,1,46.84053026,44,2020,01,202001,70,12,48,1,2,12,4,1,2,1,,,,,,,,1,2,,900000,2,,13,13,1
5110768,1,2,1,44,1,9700,97,1,73.324874016,44,2020,01,202001,70,4,40,3,2,4,3,1,2,1,,,,,,,,1,1,230000,400000,2,,54,54,1
5110775,1,3,1,44,1,8299,82,1,36.033137099,44,2020,01,202001,70,2,48,1,2,2,4,9,2,1,,,,,,,,1,1,400000,800000,2,,33,33,1
5110775,1,5,1,44,1,9700,97,1,36.033137099,44,2020,01,202001,70,24,48,3,2,24,3,1,2,1,,,,,,,,1,2,,350000,2,,54,54,2
5110776,1,2,1,44,1,8890,88,1,64.765895719,44,2020,01,202001,70,16,48,1,2,208,1,9,2,2,,,,,,,,1,2,,1200000,2,,59,59,2
5110777,1,1,1,44,1,8412,84,1,70.4943076,44,2020,01,202001,70,52,48,1,2,52,4,5,2,1,,,,,,1,,,2,,900000,2,,39,32,2
5110790,1,5,1,47,1,.,,1,83.35077517,47,2020,01,202001,70,4,48,1,1,,,,,,,,,,,,,,,,877800,,,55,,1
5110792,1,1,1,47,1,8121,81,1,126.45058855,47,2020,01,202001,70,104,48,3,2,356,4,1,2,1,,,,,,1,,,2,,400000,2,,54,54,2
5110792,1,2,1,47,1,.,,1,126.45058855,47,2020,01,202001,70,54,48,1,1,,,,,,,,,,,,,,,,828116,,,45,,2
5110798,1,2,1,47,1,4771,47,1,188.32952272,47,2020,01,202001,70,52,48,1,2,52,1,4,2,2,,,,,,1,,,2,,600000,2,,13,45,2
5110799,1,2,1,47,1,.,,1,144.99403302,47,2020,01,202001,70,8,40,1,1,,,,,,,,,,,,,,,,1200000,,,03,,1
5110803,1,1,1,47,1,.,,1,141.38200568,47,2020,01,202001,70,24,48,3,1,,,,,,,,,,,,,,,,828116,,,54,,2
5110803,1,4,1,47,1,9609,96,1,141.38200568,47,2020,01,202001,70,3,48,1,2,12,4,1,2,7,,,,,,,,1,2,,1000000,2,,59,59,1
5110816,1,3,1,50,1,.,,1,251.99419659,50,2020,01,202001,70,10,48,1,1,,,,,,,,,,,,,,,,900000,,,45,,1
5110834,1,2,1,50,1,4771,47,1,530.24183088,50,2020,01,202001,70,10,48,1,2,12,1,3,2,1,,,,,,,,1,2,,900000,2,,33,45,1
5110835,1,1,1,50,1,4111,41,1,213.08449727,50,2020,01,202001,70,2,48,1,2,2,1,2,2,1,,,,,,,,1,1,1400000,1000000,2,,95,95,1
5110838,1,1,1,50,1,8530,85,1,256.71078961,50,2020,01,202001,70,8,30,1,2,8,1,8,2,1,1,,,,,,,,2,,950000,1,1,13,13,1
5110839,1,1,1,50,1,8412,84,1,290.63644931,50,2020,01,202001,70,20,48,1,2,20,4,9,2,2,,,,,,,,1,2,,900000,2,,59,59,2
5110843,1,2,1,50,1,9700,97,1,328.06243417,50,2020,01,202001,70,52,48,1,2,52,3,1,2,1,,,,,,,,1,2,,828000,2,,45,54,2
5110865,1,1,1,50,1,8412,84,1,599.03998947,50,2020,01,202001,70,52,48,1,2,52,4,9,2,1,,,,,,,,1,2,,900000,2,,58,58,2
5110872,1,2,1,50,1,1410,14,1,237.33652744,50,2020,01,202001,70,52,48,1,2,52,1,6,2,1,,,,,,,,1,2,,828000,2,,79,79,2
5110874,1,2,1,50,1,.,,1,280.15583615,50,2020,01,202001,70,60,48,1,1,,,,,,,,,,,,,,,,800000,,,95,,2
5110874,1,4,1,50,1,.,,1,280.15583615,50,2020,01,202001,70,26,30,1,1,,,,,,,,,,,,,,,,850000,,,45,,2
5110874,1,6,1,50,1,5224,52,1,280.15583615,50,2020,01,202001,70,4,48,1,2,4,4,1,2,1,,,,,,,,1,1,800000,828000,2,,58,97,1
5110880,1,2,1,50,1,6120,61,1,274.34079522,50,2020,01,202001,70,52,48,1,2,30,1,9,2,1,,,,,,,,1,2,,828000,2,,44,44,2
5110890,1,1,1,50,1,2592,25,1,298.54960658,50,2020,01,202001,70,13,48,4,2,13,4,1,2,2,,,,,,,,1,2,,1000000,2,,84,87,1
5110891,1,3,1,50,1,8530,85,1,253.09943163,50,2020,01,202001,70,4,48,1,2,4,1,9,2,1,,,,,,,,1,1,250000,828000,2,,13,13,1
5110897,1,2,1,50,1,8551,85,1,278.26566868,50,2020,01,202001,70,4,48,1,2,4,4,9,2,1,,,,,,,,1,1,1700000,1200000,2,,03,03,1
5110903,1,2,1,52,1,5611,56,1,119.03173824,52,2020,01,202001,70,20,40,1,2,20,1,3,2,1,,,,,,,,1,2,,800000,2,,53,53,2
5110904,1,1,1,52,1,6920,69,1,217.65392794,52,2020,01,202001,70,16,48,1,2,16,1,2,2,9,,,,,,,,1,2,,900000,2,,21,32,2
5110913,1,2,1,52,1,4772,47,1,224.81951941,52,2020,01,202001,70,17,44,1,2,3,1,6,2,1,,,,,,,,1,1,370000,400000,2,,45,45,2
5110917,1,2,1,52,1,4631,46,1,209.83997547,52,2020,01,202001,70,4,48,1,2,8,1,5,2,6,,,,,,,,1,2,,1500000,2,,21,21,1
5110919,1,1,1,52,1,8412,84,1,233.12772559,52,2020,01,202001,70,26,48,2,2,13,4,9,2,1,,,,,,,,1,2,,1800000,2,,32,08,2
5110922,1,2,1,52,1,4769,47,1,154.6502231,52,2020,01,202001,70,24,48,1,2,16,1,5,2,2,,,,,,,,1,1,100000,860000,2,,45,45,2
5110922,1,3,1,52,1,1430,14,1,154.6502231,52,2020,01,202001,70,52,24,1,2,52,1,2,2,1,,,,,,,,1,2,,450000,2,,45,75,2
5110925,1,1,1,52,1,9900,99,1,153.33079777,52,2020,01,202001,70,3,40,1,2,3,1,9,2,1,,,,,,,,1,1,1500000,900000,2,,32,19,1
5110929,1,3,1,52,1,4761,47,1,165.7820885,52,2020,01,202001,70,52,48,1,2,52,1,2,2,8,,,,,,,,1,2,,877000,2,,45,34,2
5110929,1,4,1,52,1,8890,88,1,165.7820885,52,2020,01,202001,70,6,48,1,2,6,1,4,2,1,,,,,,,,1,2,,877000,2,,03,03,1
5110932,1,2,1,52,1,4781,47,1,244.34441995,52,2020,01,202001,70,8,48,1,2,8,4,1,2,1,,,,,,,,1,2,,750000,2,,58,45,1
5110933,1,2,1,52,1,4771,47,1,146.23651978,52,2020,01,202001,70,2,40,1,2,2,1,7,2,1,,,,,,,,1,1,1000000,800000,2,,45,97,1
5110934,1,1,1,52,1,4771,47,1,224.81951941,52,2020,01,202001,70,2,48,1,2,2,1,7,2,1,,,,,,,,1,1,816032,877000,2,,45,45,1
5110936,1,2,1,52,1,4774,47,1,118.65984782,52,2020,01,202001,70,2,56,1,2,2,1,5,2,1,,,,,,,,1,1,900000,877000,2,,45,45,1
5110936,1,3,1,52,1,5613,56,1,118.65984782,52,2020,01,202001,70,78,20,1,2,78,1,3,2,2,,,,,,,,1,2,,450000,2,,33,53,2
5110943,1,2,1,52,1,8621,86,1,90.359338061,52,2020,01,202001,70,52,48,2,2,52,1,6,2,1,,,,,,,,1,2,,828116,2,,55,55,2
5110943,1,4,1,52,1,8890,88,1,90.359338061,52,2020,01,202001,70,1,48,2,2,4,4,9,2,3,,,1,,,,,,1,2000000,828116,2,,06,06,1
5110946,1,2,1,54,1,7310,73,1,337.45926882,54,2020,01,202001,70,4,48,1,2,4,1,2,2,7,,,,,,,,1,1,850000,850000,2,,16,16,1
5110953,1,2,1,54,1,4771,47,1,382.99490058,54,2020,01,202001,70,4,48,1,2,8,1,4,2,8,,,,,,,,1,2,,828116,2,,45,45,1
5110959,1,6,1,54,1,4631,46,1,524.86613713,54,2020,01,202001,70,24,48,1,2,20,1,4,2,1,,,,,,,,1,2,,800000,2,,97,97,2
5110959,1,7,1,54,1,4772,47,1,524.86613713,54,2020,01,202001,70,8,24,1,2,3,4,1,2,1,,,,,,,,1,1,450000,300000,2,,45,41,1
5110965,1,7,1,54,1,4772,47,1,339.84177795,54,2020,01,202001,70,3,48,4,2,4,4,1,2,1,,,,,,,,1,1,600000,600000,2,,45,45,1
5110969,1,2,1,54,1,1522,15,1,563.64596288,54,2020,01,202001,70,2,48,4,2,9,4,1,2,8,,,,,,,,1,2,,700000,2,,80,80,1
5110970,1,2,1,54,1,9609,96,1,578.7477101,54,2020,01,202001,70,4,48,4,2,9,4,1,2,7,,,,,,,,1,2,,900000,2,,59,59,1
5110973,1,1,1,54,1,1410,14,1,417.48866814,54,2020,01,202001,70,6,50,4,2,6,4,1,2,1,,,,,,,,1,2,,877800,2,,79,79,1
5110973,1,3,1,54,1,.,,1,417.48866814,54,2020,01,202001,70,6,48,1,1,,,,,,,,,,,,,,,,877800,,,45,,1
5110974,1,3,1,54,1,4772,47,1,440.26913388,54,2020,01,202001,70,2,48,1,2,3,4,1,2,1,,,,,,,,1,1,600000,900000,2,,45,41,1
5110977,1,1,1,54,1,4781,47,1,467.32916655,54,2020,01,202001,70,2,48,4,2,4,4,1,2,1,,,,,,,,1,1,300000,600000,2,,55,45,1
5110978,1,2,1,54,1,4111,41,1,512.23798609,54,2020,01,202001,70,5,54,4,2,9,4,1,2,1,,,,,,,,1,2,,877802,2,,95,95,1
5110982,1,2,1,54,1,6820,68,1,646.99746851,54,2020,01,202001,70,2,48,1,2,10,1,6,2,1,,,,,,,,1,2,,877802,2,,55,55,1
5110994,1,2,1,63,1,5611,56,1,119.58322061,63,2020,01,202001,70,8,48,1,2,18,4,1,2,2,,,,,,,,1,2,,900000,2,,53,53,1
5110995,1,1,1,63,1,8513,85,1,94.017463506,63,2020,01,202001,70,6,48,1,2,6,1,6,2,1,,1,,,,,,,2,,878000,1,1,32,32,1
5111004,1,1,1,63,1,3110,31,1,123.13309046,63,2020,01,202001,70,5,50,5,2,5,4,1,2,1,,,,,,,,1,1,200000,1000000,3,,93,93,1
5111014,1,6,1,63,1,8890,88,1,96.976478484,63,2020,01,202001,70,2,60,4,2,2,4,1,2,1,,,,,,,,1,1,200000,850000,2,,98,59,1
5111016,1,2,1,63,1,9602,96,1,193.70891365,63,2020,01,202001,70,1,48,4,2,2,1,2,2,4,,,,,,,,1,1,1000000,877800,2,,57,57,1
5111032,1,5,1,66,1,4771,47,1,370.15258364,66,2020,01,202001,70,2,48,1,2,3,1,5,2,2,,,,,,,,1,1,828116,828116,2,,45,45,1
5111033,1,3,1,66,1,9511,95,1,429.16771618,66,2020,01,202001,70,52,48,1,2,52,1,3,2,1,,,,,,,,1,2,,828116,2,,03,03,2
5111033,1,4,1,66,1,8422,84,1,429.16771618,66,2020,01,202001,70,52,48,1,2,52,2,9,2,1,,,,,,,,1,2,,828116,2,,39,58,2
5111039,1,4,1,66,1,1690,16,1,336.28574976,66,2020,01,202001,70,3,48,1,2,3,1,9,2,1,,,,,,,,1,1,828116,828116,2,,45,32,1
5111044,1,3,1,66,1,1522,15,1,362.00983275,66,2020,01,202001,70,52,48,1,2,4,1,3,2,2,,,,,,,,1,2,,828116,2,,97,97,2
5111044,1,6,1,66,1,4641,46,1,362.00983275,66,2020,01,202001,70,3,48,1,2,3,1,5,2,1,,,,,,,,1,1,828116,828116,2,,97,97,1
5111051,1,2,1,66,1,2750,27,1,361.55438726,66,2020,01,202001,70,52,48,1,2,52,1,9,2,2,,,,,,,,1,2,,828116,2,,32,32,2
5111058,1,2,1,66,1,4111,41,1,566.58043327,66,2020,01,202001,70,4,48,1,2,4,1,4,2,4,,,,,,,,1,1,850000,828116,2,,95,95,1
5111064,1,1,1,66,1,3900,39,1,706.50401917,66,2020,01,202001,70,48,48,1,2,48,1,9,2,1,,,,,,,,1,2,,828116,2,,30,32,2
5111089,1,3,1,66,1,6910,69,1,285.95389082,66,2020,01,202001,70,4,40,1,2,24,1,3,2,7,,,,,,,,1,2,,1500000,2,,12,39,1
5111102,1,1,1,66,1,8530,85,1,331.25402796,66,2020,01,202001,70,24,48,1,2,24,1,9,2,1,,,1,,,,,,2,,1000000,2,,13,13,2
5111103,1,3,1,66,1,4771,47,1,298.95821492,66,2020,01,202001,70,2,48,1,2,2,1,7,2,2,,,,,,,,1,1,828116,828116,2,,38,45,1
5111106,1,3,1,66,1,7420,74,1,338.88287583,66,2020,01,202001,70,104,48,4,2,108,1,2,2,8,,,,,,,,1,2,,828116,2,,16,16,2
5111110,1,6,1,66,1,6511,65,1,360.46204768,66,2020,01,202001,70,2,48,1,2,2,1,5,2,1,,,,,,,,1,1,1000000,1500000,2,,32,33,1
5111112,1,1,1,66,1,4921,49,1,298.54351615,66,2020,01,202001,70,3,48,1,2,3,1,7,2,1,,,,,,,,1,1,900000,850000,2,,98,98,1
5111117,1,1,1,68,1,4771,47,1,585.52469798,68,2020,01,202001,70,12,48,1,2,12,1,6,2,2,,,,,,,,1,2,,900000,2,,44,45,1
5111121,1,2,1,68,1,8512,85,1,542.48011916,68,2020,01,202001,70,1,48,1,2,52,4,4,2,2,,,,,,,,1,2,,828116,2,,13,59,1
5111122,1,1,1,68,1,1522,15,1,461.02053926,68,2020,01,202001,70,6,48,4,2,4,4,1,2,1,,,,,,,,1,1,900000,1200000,2,,80,80,1
5111123,1,2,1,68,1,1521,15,1,542.48011916,68,2020,01,202001,70,5,24,1,2,10,4,1,2,2,,,,,,,,1,2,,828116,2,,55,80,1
5111126,2,2,2,68,1,4721,47,1,665.11703803,68,2020,01,202001,70,72,48,4,2,72,1,3,2,4,,,,,,,,1,2,,828116,2,,97,45,2
5111126,2,5,2,68,1,5619,56,1,665.11703803,68,2020,01,202001,70,36,48,1,2,16,1,4,2,1,,,,,,,,1,2,,828116,2,,45,33,2
5111131,1,2,1,68,1,3240,32,1,850.06503424,68,2020,01,202001,70,12,48,1,2,1,4,1,2,2,,,,,,,,1,2,,828116,2,,03,94,1
5111132,1,2,1,68,1,8610,86,1,267.87799909,68,2020,01,202001,70,52,48,1,2,104,1,9,2,2,,,,,,,,1,2,,500000,2,,45,39,2
5111132,1,8,1,68,1,5619,56,1,267.87799909,68,2020,01,202001,70,16,48,1,2,16,4,1,2,1,,,,,,,,1,2,,828116,2,,45,53,2
5111133,1,3,1,68,1,8412,84,1,453.73870018,68,2020,01,202001,70,1,48,1,2,4,4,9,2,1,,,,,,,,1,1,1750000,2000000,2,,05,05,1
5111139,1,5,1,68,1,4719,47,1,664.38521011,68,2020,01,202001,70,3,48,1,2,3,1,4,2,1,,,,,,,,1,1,828200,828200,2,,39,39,1
5111145,1,2,1,68,1,3110,31,1,453.73870018,68,2020,01,202001,70,8,48,1,2,5,1,7,2,1,,,,,,,,1,2,,828116,2,,39,39,1
5111154,1,1,1,68,1,8412,84,1,506.17797895,68,2020,01,202001,70,2,40,4,2,2,4,9,2,1,,,1,1,,,,,1,1100000,2500000,3,,03,03,1
5111156,1,2,1,68,1,5611,56,1,468.78858526,68,2020,01,202001,70,3,20,4,2,3,1,4,2,1,,,,,,,,1,2,,415000,2,,41,53,1
5111160,1,1,1,70,1,8530,85,1,263.30900625,70,2020,01,202001,70,8,48,4,2,8,4,9,2,4,,,,,,,,1,2,,877803,2,,03,03,1
5111163,1,1,1,70,1,8890,88,1,120.20604953,70,2020,01,202001,70,8,48,1,2,8,1,5,2,1,,,,,,,,1,2,,877803,2,,53,53,1
5111169,1,3,1,70,1,4631,46,1,102.66630508,70,2020,01,202001,70,3,48,1,2,3,1,9,2,1,,,,,,,,1,1,828116,877803,2,,44,44,1
5111170,1,2,1,70,1,4711,47,1,73.943831449,70,2020,01,202001,70,22,48,1,2,34,1,9,2,1,,,,,,,,1,2,,1000000,2,,45,45,2
5111175,1,3,1,70,1,4774,47,1,86.465264246,70,2020,01,202001,70,52,48,1,2,24,1,4,2,1,,,,,,,,1,2,,877803,2,,45,45,2
5111176,1,1,1,70,1,4111,41,1,134.41865476,70,2020,01,202001,70,3,48,4,2,3,4,2,2,1,,,,,,,,1,1,900000,900000,2,,95,95,1
5111179,1,2,1,70,1,4755,47,1,101.85622939,70,2020,01,202001,70,60,48,1,2,48,1,3,2,1,,1,,,,,,,2,,1200000,1,1,44,32,2
5111182,1,1,1,70,1,8622,86,1,112.90194661,70,2020,01,202001,70,36,48,1,2,50,1,3,2,2,,,,,,,,1,2,,1200000,2,,59,59,2
5111185,1,1,1,70,1,4721,47,1,111.29733422,70,2020,01,202001,70,52,48,1,2,52,1,4,2,1,,,,,,,,1,2,,877803,2,,45,45,2
5111186,1,2,1,70,1,8890,88,1,113.71202229,70,2020,01,202001,70,6,48,1,2,6,1,9,2,2,,,,,,,,1,2,,1000000,2,,39,53,1
5111187,1,2,1,70,1,9700,97,1,83.927289468,70,2020,01,202001,70,6,48,3,2,6,3,1,2,1,,,,,,,,1,2,,400000,2,,54,54,1
5111187,1,4,1,70,1,4921,49,1,83.927289468,70,2020,01,202001,70,48,24,2,2,1,4,1,2,1,,,,,,,,1,1,500000,877803,2,,58,98,2
5111188,1,2,1,70,1,9700,97,1,109.20493401,70,2020,01,202001,70,2,48,3,2,2,3,1,2,1,,,,,,,,1,1,300000,500000,2,,54,54,1
5111190,1,3,1,70,1,.,,1,93.55622157,70,2020,01,202001,70,8,48,1,1,,,,,,,,,,,,,,,,877803,,,16,,1
5111192,1,1,1,70,1,5613,56,1,113.51065411,70,2020,01,202001,70,8,48,1,2,48,1,3,2,2,,,,,,,,1,2,,600000,2,,44,53,1
5111197,1,4,1,73,1,5611,56,1,136.03944505,73,2020,01,202001,70,8,48,1,2,32,1,4,2,2,,,,,,,,1,2,,500000,2,,45,53,1
5111200,1,1,1,73,1,8621,86,1,392.84474562,73,2020,01,202001,70,52,48,1,2,52,1,6,2,2,,,,,,,,1,2,,900000,2,,39,30,2
5111201,1,2,1,73,1,4520,45,1,286.1202791,73,2020,01,202001,70,52,48,1,2,52,1,4,2,1,,,,,,,,1,2,,900000,2,,32,32,2
5111213,1,1,1,73,1,4111,41,1,204.96964072,73,2020,01,202001,70,12,48,4,2,12,4,1,2,1,,,,,,,,1,2,,800000,2,,95,95,1
5111219,1,3,1,73,1,4520,45,1,136.03944505,73,2020,01,202001,70,2,48,1,2,2,1,3,2,8,,,,,,,,1,1,400000,800000,2,,99,99,1
5111226,1,1,1,73,1,5320,53,1,413.33465038,73,2020,01,202001,70,8,48,1,2,8,1,4,2,1,,,,,,,,1,2,,800000,2,,97,97,1
5111226,1,3,1,73,1,4330,43,1,413.33465038,73,2020,01,202001,70,4,48,4,2,4,4,1,2,3,,,,,,,,1,1,600000,900000,2,,93,93,1
5111226,1,4,1,73,1,8610,86,1,413.33465038,73,2020,01,202001,70,4,48,1,2,4,1,9,2,1,,,,,,,,1,1,1200000,900000,2,,97,55,1
5111227,1,1,1,73,1,4111,41,1,351.62968289,73,2020,01,202001,70,4,48,1,2,4,1,2,2,1,,,,,,,,1,1,600000,900000,2,,95,95,1
5111235,1,2,1,73,1,8412,84,1,152.44368266,73,2020,01,202001,70,4,45,4,2,4,4,9,2,1,1,,,,,,,,1,5000000,4000000,1,1,06,06,1
5111241,1,1,1,76,1,8544,85,1,624.8353757,76,2020,01,202001,70,1,48,4,2,364,4,9,2,1,,,,,,,1,,2,,1000000,3,,05,05,1
5111241,1,3,1,76,1,3513,35,1,624.8353757,76,2020,01,202001,70,1,40,4,2,2,4,9,2,1,,,,,,,,1,1,5200000,5200000,2,,12,12,1
5111243,1,3,1,76,1,4761,47,1,1210.5581801,76,2020,01,202001,70,13,48,1,2,13,4,1,2,1,,,,,,,,1,2,,980000,2,,45,41,1
5111243,1,5,1,76,1,6820,68,1,1210.5581801,76,2020,01,202001,70,4,40,1,2,4,1,8,2,1,,,,,,,,1,1,220000,980000,2,,39,55,1
5111246,1,1,1,76,1,5630,56,1,849.68243041,76,2020,01,202001,70,12,48,1,2,260,4,1,2,4,,,,,,,,1,2,,828116,2,,57,51,1
5111249,1,2,1,76,1,4781,47,1,1198.9753771,76,2020,01,202001,70,3,48,1,2,104,1,3,2,1,,,,,,,,1,2,,880000,2,,33,45,1
5111250,1,3,1,76,1,2023,20,1,1014.3655652,76,2020,01,202001,70,8,48,1,2,48,1,9,2,2,,,,,,,,1,2,,850000,2,,39,97,1
5111252,1,3,1,76,1,.,,1,1424.843994,76,2020,01,202001,70,1,30,1,1,,,,,,,,,,,,,,,,700000,,,53,,1
5111253,1,2,1,76,1,4321,43,1,1156.6581408,76,2020,01,202001,70,1,48,1,2,24,1,9,2,4,,,,,,,,1,2,,1300000,2,,19,19,1
5111254,1,5,1,76,1,5619,56,1,752.9463361,76,2020,01,202001,70,3,48,1,2,5,1,2,2,1,,,,,,,,1,1,98,877803,2,,55,53,1
5111255,1,1,1,76,1,6910,69,1,1294.010929,76,2020,01,202001,70,53,48,1,2,53,1,3,2,8,,,,,,,,1,2,,3000000,1,2,12,12,2
5111257,1,3,1,76,1,.,,1,673.44100934,76,2020,01,202001,70,1,48,1,1,,,,,,,,,,,,,,,,877000,,,45,,1
5111258,1,1,1,76,1,2396,23,1,891.15319726,76,2020,01,202001,70,16,48,1,2,16,4,5,2,4,,,,,,,,1,2,,877803,2,,58,89,2
5111260,1,2,1,76,1,9700,97,1,849.68243041,76,2020,01,202001,70,1,8,4,2,56,3,1,2,1,,,,,,,,1,2,,98,2,,56,56,1
5111261,1,1,1,76,1,5619,56,1,1295.0324912,76,2020,01,202001,70,24,48,1,2,4,4,1,2,1,,,,,,,,1,1,200000,900000,2,,99,77,2
5111261,1,2,1,76,1,4711,47,1,1295.0324912,76,2020,01,202001,70,78,48,1,2,108,1,5,2,1,,,,,,,,1,2,,900000,2,,45,45,2
5111278,1,2,1,76,1,8890,88,1,995.2134785,76,2020,01,202001,70,8,40,1,2,104,1,3,2,2,,,,,,,,1,2,,828116,2,,33,32,1
5111285,1,1,1,76,1,4321,43,1,1083.9544383,76,2020,01,202001,70,32,60,1,2,12,1,4,2,1,,,,,,,,1,2,,1080000,2,,95,99,2
5111288,1,2,1,76,1,8621,86,1,868.17817856,76,2020,01,202001,70,52,42,1,2,10,1,4,2,1,,,,,,,,1,2,,600000,2,,59,39,2
5111303,1,3,1,88,1,4754,47,1,65.838686622,88,2020,01,202001,70,,,,,,,,,,,,,,,,,,,,,,,,,
5111306,1,3,1,88,1,8412,84,1,64.914500237,88,2020,01,202001,70,,,,,,,,,,,,,,,,,,,,,,,,,
5111308,1,1,1,88,1,8530,85,1,27.960614152,88,2020,01,202001,70,,,,,,,,,,,,,,,,,,,,,,,,,
5111310,1,1,1,88,1,5611,56,1,67.011253816,88,2020,01,202001,70,,,,,,,,,,,,,,,,,,,,,,,,,
5111310,1,2,1,88,1,4759,47,1,67.011253816,88,2020,01,202001,70,,,,,,,,,,,,,,,,,,,,,,,,,
5111312,1,1,1,88,1,8551,85,1,78.474468264,88,2020,01,202001,70,,,,,,,,,,,,,,,,,,,,,,,,,
5111316,1,2,1,88,1,4773,47,1,75.312989816,88,2020,01,202001,70,,,,,,,,,,,,,,,,,,,,,,,,,
5111320,1,1,1,81,1,,,1,116.36429702,81,2020,01,202001,70,2,40,1,2,2,1,5,2,1,,,,,,,,1,1,828116,828116,2,,,,
5111321,1,1,1,81,1,,,1,264.00547297,81,2020,01,202001,70,2,48,1,2,3,4,1,2,1,,,,,,,,1,1,600000,800000,2,,,,
5111322,1,1,1,81,1,,,1,179.49897331,81,2020,01,202001,70,3,48,1,2,5,4,3,2,3,,,,,,,,1,2,,900000,2,,,,
5111324,1,1,1,81,1,,,1,361.75902233,81,2020,01,202001,70,8,48,1,2,8,4,1,2,1,,,,,,,,1,2,,1000000,2,,,,
5111324,1,4,1,81,1,,,1,361.75902233,81,2020,01,202001,70,3,48,1,2,3,4,9,2,1,,,,,,,,1,1,800000,900000,2,,,,
5111324,1,5,1,81,1,,,1,361.75902233,81,2020,01,202001,70,8,48,1,2,8,1,5,2,1,,,,,,,,1,2,,800000,2,,,,
5111331,1,2,1,85,1,,,1,297.27512954,85,2020,01,202001,70,1,48,1,2,104,1,2,2,1,,,,,,,,1,2,,877803,2,,,,
5111338,1,1,1,86,1,,,1,114.98936944,86,2020,01,202001,70,2,40,3,2,2,3,1,2,1,,,,,,,,1,2,,400000,2,,,,
5111340,1,2,1,86,1,,,1,85.263695295,86,2020,01,202001,70,2,40,1,2,2,1,3,2,1,,,,,,,,1,2,,800000,2,,,,
5111341,1,2,1,86,1,,,1,83.026601198,86,2020,01,202001,70,4,48,1,2,4,1,2,2,1,,,,,,,,1,2,,600000,2,,,,
5111345,1,1,1,86,1,,,1,140.92271395,86,2020,01,202001,70,1,40,3,2,1,3,1,2,1,,,,,,,,1,1,98,900000,2,,,,
5111352,1,3,1,86,1,,,1,101.8588453,86,2020,01,202001,70,8,40,3,2,8,3,1,2,1,,,,,,,,1,2,,400000,2,,,,
5111359,1,1,1,97,1,,,1,26.755376979,97,2020,01,202001,70,1,40,4,2,4,4,9,2,1,1,,,,,,,,2,,2400000,1,1,,,
5111360,1,1,1,97,1,,,1,22.409058142,97,2020,01,202001,70,2,40,1,2,11,4,2,2,1,,,,,,1,,,2,,1500000,2,,,,
5111360,1,3,1,97,1,,,1,22.409058142,97,2020,01,202001,70,3,40,2,1,,,,,,,,,,,,,,,,1400000,,,,,
5111363,1,2,1,97,1,,,1,13.373377574,97,2020,01,202001,70,5,40,1,1,,,,,,,,,,,,,,,,1300000,,,,,
5111367,1,1,1,97,1,,,1,28.256680622,97,2020,01,202001,70,8,40,2,1,,,,,,,,,,,,,,,,1300000,,,,,
5111367,1,2,1,97,1,,,1,28.256680622,97,2020,01,202001,70,2,40,3,2,136,3,1,2,1,,,,,,,,1,2,,877000,2,,,,
5111369,1,1,1,97,1,,,1,15.09835839,97,2020,01,202001,70,3,40,2,1,,,,,,,,,,,,,,,,2800000,,,,,
5111371,1,2,1,97,1,,,1,15.09835839,97,2020,01,202001,70,1,40,2,2,5,4,8,2,4,1,,,,,,,,2,,1640000,1,2,,,
5111373,1,1,1,97,1,,,1,21.4498081,97,2020,01,202001,70,3,40,2,2,4,4,9,2,3,1,,,,,,,,1,4000000,1500000,1,2,,,
5111373,1,2,1,97,1,,,1,21.4498081,97,2020,01,202001,70,2,40,2,2,5,4,9,2,3,1,,,,,,,,1,3800000,1500000,1,2,,,
5111378,1,1,1,99,1,,,1,79.688966647,99,2020,01,202001,70,16,48,1,2,16,1,7,2,1,,,,,,,,1,2,,850000,2,,,,
5111379,1,1,1,99,1,,,1,52.806729849,99,2020,01,202001,70,28,48,1,2,28,1,4,2,1,,,,,,,,1,2,,877000,2,,,,
5111380,1,4,1,99,1,,,1,48.710885846,99,2020,01,202001,70,24,63,1,2,36,1,4,2,4,,,,,,,,1,2,,800000,2,,,,
5111381,1,1,1,99,1,,,1,63.173259736,99,2020,01,202001,70,4,50,1,2,5,4,1,2,3,,,,,,,,1,1,1200000,900000,2,,,,
